,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
0,A.ansari,Peoples Democratic Party,2,10th Pass,41,"Rs 34,00,000 ~ 34 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
1,A.m.ariff,CPI(M),2,Graduate Professional,51,"Rs 97,06,421 ~ 97 Lacs+","Rs 6,75,000 ~ 6 Lacs+",ALAPPUZHA,Kerala2016,0
2,A.muhammed Kunju,SUCI(C),0,Literate,67,"Rs 2,01,097 ~ 2 Lacs+","Rs 12,122 ~ 12 Thou+",ALAPPUZHA,Kerala2016,2
3,Adv.jacob Ebraham,Kerala Congress (M),0,Graduate Professional,59,"Rs 88,61,749 ~ 88 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
4,Adv.liju M,INC,5,Graduate Professional,36,"Rs 35,38,410 ~ 35 Lacs+","Rs 26,33,307 ~ 26 Lacs+",ALAPPUZHA,Kerala2016,0
5,Adv.u.prathibha Hari,CPI(M),3,Graduate,38,"Rs 15,50,695 ~ 15 Lacs+","Rs 5,31,611 ~ 5 Lacs+",ALAPPUZHA,Kerala2016,7
6,Ajeeshkumar,IND,0,12th Pass,31,"Rs 3,11,022 ~ 3 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
7,Ajith P,IND,0,10th Pass,34,"Rs 7,63,000 ~ 7 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
8,Alex,BSP,0,10th Pass,49,"Rs 82,300 ~ 82 Thou+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
9,Aniyappan,Bharath Dharma Jana Sena,0,Post Graduate,45,"Rs 2,00,72,489 ~ 2 Crore+","Rs 29,20,652 ~ 29 Lacs+",ALAPPUZHA,Kerala2016,0
10,Asha.t,SUCI(C),0,10th Pass,39,"Rs 6,19,000 ~ 6 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
11,Balakrishnan,BSP,0,10th Pass,55,"Rs 4,38,108 ~ 4 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
12,C.p.thilakan,BSP,0,10th Pass,56,"Rs 3,11,000 ~ 3 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
13,C.r.jayaprakash,INC,0,Graduate Professional,68,"Rs 5,74,56,633 ~ 5 Crore+","Rs 5,00,000 ~ 5 Lacs+",ALAPPUZHA,Kerala2016,0
14,D.aswanidev,BJP,1,Post Graduate,50,"Rs 2,36,174 ~ 2 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
15,Faizal,Peoples Democratic Party,0,5th Pass,46,"Rs 4,94,500 ~ 4 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
16,G.sudhakaran,CPI(M),1,Post Graduate,68,"Rs 54,29,533 ~ 54 Lacs+","Rs 70,442 ~ 70 Thou+",ALAPPUZHA,Kerala2016,0
17,Jacob Abraham,IND,0,10th Pass,55,"Rs 6,55,900 ~ 6 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
18,Jayachandran,BJP,1,10th Pass,43,"Rs 59,96,661 ~ 59 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
19,Jose Koyippally,IND,0,Graduate,56,"Rs 88,69,942 ~ 88 Lacs+","Rs 27,43,274 ~ 27 Lacs+",ALAPPUZHA,Kerala2016,7
20,Joseph Kuttikkadan,IND,0,10th Pass,51,"Rs 16,15,000 ~ 16 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
21,K.a.vinod,SUCI(C),0,Graduate,40,"Rs 15,000 ~ 15 Thou+",Rs 0 ~,ALAPPUZHA,Kerala2016,7
22,K.prathapan,SUCI(C),0,12th Pass,43,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
23,K.v.joseph,IND,0,Graduate,43,"Rs 1,30,000 ~ 1 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,7
24,Liju,IND,0,12th Pass,33,"Rs 9,45,555 ~ 9 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
25,Liyakathali,SDPI,0,10th Pass,45,"Rs 57,10,000 ~ 57 Lacs+","Rs 2,60,000 ~ 2 Lacs+",ALAPPUZHA,Kerala2016,0
26,Mohan Chacko,Welfare Party Of India,1,10th Pass,63,"Rs 36,125 ~ 36 Thou+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
27,Mohanan,IND,0,Illiterate,67,"Rs 31,01,388 ~ 31 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,1
28,Mujeeb Koya,Peoples Democratic Party,0,10th Pass,41,"Rs 10,500 ~ 10 Thou+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
29,Nandanan Valiyaparambu,SUCI(C),0,10th Pass,63,"Rs 8,69,483 ~ 8 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
30,Nasaruddeen,Welfare Party Of India,2,10th Pass,52,"Rs 87,44,770 ~ 87 Lacs+","Rs 26,81,292 ~ 26 Lacs+",ALAPPUZHA,Kerala2016,0
31,P Maniyappan Achari,IND,0,Graduate,70,"Rs 6,48,045 ~ 6 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,7
32,P.g.sugunan,IND,0,8th Pass,61,"Rs 16,00,000 ~ 16 Lacs+","Rs 6,00,000 ~ 6 Lacs+",ALAPPUZHA,Kerala2016,0
33,P.m.velayudhan,BJP,2,10th Pass,63,"Rs 1,51,75,000 ~ 1 Crore+","Rs 40,00,000 ~ 40 Lacs+",ALAPPUZHA,Kerala2016,0
34,P.prasad,CPI,2,Graduate,47,"Rs 75,761 ~ 75 Thou+",Rs 0 ~,ALAPPUZHA,Kerala2016,7
35,P.s.rajeev,Bharath Dharma Jana Sena,0,Graduate,58,"Rs 43,06,032 ~ 43 Lacs+","Rs 5,68,168 ~ 5 Lacs+",ALAPPUZHA,Kerala2016,7
36,Pradeepkumar,IND,0,12th Pass,34,"Rs 1,84,500 ~ 1 Lacs+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
37,Prasad,IND,0,10th Pass,49,"Rs 11,11,100 ~ 11 Lacs+","Rs 2,00,000 ~ 2 Lacs+",ALAPPUZHA,Kerala2016,0
38,Prasanth,IND,1,Graduate Professional,30,"Rs 16,160 ~ 16 Thou+",Rs 0 ~,ALAPPUZHA,Kerala2016,0
39,Premji.k.p,IND,0,Graduate,36,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,ALAPPUZHA,Kerala2016,7
40,Presool.d.prekash,IND,0,12th Pass,31,"Rs 3,00,559 ~ 3 Lacs+","Rs 2,95,000 ~ 2 Lacs+",ALAPPUZHA,Kerala2016,0
